nombre,artista,id_artista,año,genero
Дождь (feat. МакSим),Geegun,5W7N6u4EjCEMKj7bDyzPEC,2015,Desconocido
Tennessee Whiskey,Chris Stapleton,4YLtscXsxbVgi031ovDDdh,2015,country
你和我的時光,A-Mei Chang,6noxsCszBEEK04kCehugOp,2015,mandopop
The Less I Know The Better,Tame Impala,5INjqkS1o8h1imAzPqGZBb,2015,indie
ONE FOR YOU into the world,Alisa Takigawa,6fvp9HPqOxcYd7PgyKPF4e,2015,anime
Hold Back The River,James Bay,4EzkuveR9pLvDVFNx6foYD,2015,Desconocido
Wenn du nicht mehr da bist (ZDF Disco 22.11.1982),Rex Gildo,1bgbFPzGjOOXdvg9XKWe39,2015,schlager
Adventure of a Lifetime,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,2015,Desconocido
"Deine Freundin - Live In Berlin, Germany / 2014",SDP,1EfwyuCzDQpCslZc8C9gkG,2015,german pop
Let It Go,James Bay,4EzkuveR9pLvDVFNx6foYD,2015,Desconocido
On & Off,Fem Fel,61NJMGxlvjOHmWCuJn13sc,2015,Desconocido
Uptown Funk (feat. Bruno Mars),Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,2015,Desconocido
"Igor Levit über ""Bach, Beethoven, Rzewski""",Frederic Rzewski,1kt7FN4DSyZUkiSMRx0XE8,2015,avant-garde
When We Were Young,Adele,4dpARuHxo51G3z768sgnrY,2015,soft pop
The Florian Trilogy (Cloud Rider - Mothertrucker - Feed Your Head),Paul Kalkbrenner,0rasA5Z5h1ITtHelCpfu9R,2015,minimal techno
Cheerleader (Felix Jaehn Remix) - Radio Edit,OMI,5MouCg6ta7zAxsfMEbc1uh,2015,Desconocido
How Long Has This Been Going On EPK,Van Morrison,44NX2ffIYHr6D4n7RaZF7A,2015,Desconocido
Hymn for the Weekend,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,2015,Desconocido
"Acte I, Athos ""Les 3 Mousquetaires""",Les 3 mousquetaires,0HRGajTZLkDHtBzkalLKW6,2015,french pop
Waiting For Love,Avicii,1vCWHaC5f2uS3yhpwWbIA6,2015,edm
Rasta Freedom,Naptali,4UyRfsWJwORMVCcWqw3Nov,2015,reggae
FourFiveSeconds,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,2015,Desconocido
When The Whip Comes Down - Live,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,2015,classic rock
Love Yourself,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,2015,Desconocido
