nombre,artista,id_artista,año,genero,genero_general
Starships,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,2012,Desconocido,Otros
I Love It (feat. Charli XCX),Icona Pop,1VBflYyxBhnDc9uVib98rw,2012,Desconocido,Otros
Try,P!nk,1KCSPY1glIKqW2TotWuXOR,2012,Desconocido,Otros
"Arráncame - Directo - Ven, siéntate y me lo cuentas ...",Vanesa Martín,5kSJMVPcTITrSZxTrHllVN,2012,flamenco pop,flamenco
Feel This Moment (feat. Christina Aguilera),Pitbull,0TnOYISbd1XYRBk9myaseg,2012,Desconocido,Otros
HYFR (Hell Ya F***ing Right),Drake,3TVXtAsR1Inumwj472S9r4,2012,rap,hip-hop
What Makes You Beautiful,One Direction,4AK6F7OLvEQ5QYCBNiQWHq,2012,Desconocido,Otros
Bleeding Hearts Club,P.O.S,4sH7SLGP6BLOYDtcP6Lm47,2012,experimental hip hop,hip-hop
Wake Me Up,Avicii,1vCWHaC5f2uS3yhpwWbIA6,2013,edm,electrónica
Bede Z Toba - Hangout Live,Lemon,3GqZI2mcDNtrVB8pRP61Tu,2013,post-disco,dance
Another Love,Tom Odell,2txHhyCwHjUEpJjWrEyqyX,2013,Desconocido,Otros
Byłem (feat. As),Pezet,4z93wkjfGntA0XFqnv4wj7,2013,Desconocido,Otros
Story of My Life,One Direction,4AK6F7OLvEQ5QYCBNiQWHq,2013,Desconocido,Otros
My Love a Piece of My Love (feat. Snoop Dogg),Abel The Kid,1jFW8Qk6mMFADyD1dbiry2,2013,Desconocido,Otros
LoveHate Thing (feat. Sam Dew),Wale,67nwj3Y5sZQLl72VNUHEYE,2013,Desconocido,Otros
25 ปี (มีหวัง),พงษ์สิทธิ์ คำภีร์,0lEc37ck2MW2K9L8wV7QpP,2013,phleng phuea chiwit,folk
I Wanna Be Yours,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,2013,indie,indie
Red Light (feat. Snoop Lion),Eddie Murphy,1Zq8pfBl4ejCMrWdeAdphc,2013,comedy,Otros
Counting Stars,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,2013,soft pop,pop
Cups (Pitch Perfect’s “When I’m Gone”) - Director's Cut / Closed-Captioned,Anna Kendrick,6xfqnpe2HnLVUaYXs2F8YS,2013,children's music,Otros
Do I Wanna Know?,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,2013,indie,indie
Tantinho - Ao Vivo,Daniel,2wwWukJBsCikjlj7vlbQkM,2013,sertanejo tradicional,samba
Sweater Weather,The Neighbourhood,77SW9BnxLY8rJ0RciFqkHh,2013,Desconocido,Otros
San Pedro - Enjoy,Revolver,2SAPkzCWSR5iX7dE4hVcqB,2013,Desconocido,Otros
No. 1 Party Anthem,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,2013,indie,indie
Nice,Lemon,3GqZI2mcDNtrVB8pRP61Tu,2013,post-disco,dance
Latch,Disclosure,6nS5roXSAGhTGr34W6n7Et,2013,house,electrónica
"Es lo que es, hay lo que hay - Enjoy",Revolver,2SAPkzCWSR5iX7dE4hVcqB,2013,Desconocido,Otros
Young And Beautiful,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,2013,Desconocido,Otros
Heart-Shaped Box - Director's Cut,Nirvana,6olE6TJLqED3rqDCT0FyPh,2013,grunge,rock
All of Me,John Legend,5y2Xq6xcjJb2jVM54GHK3t,2013,soft pop,pop
Stormy Wagner (Live),Apocalyptica,4Lm0pUvmisUHMdoky5ch2I,2013,symphonic metal,metal
Stolen Dance,Milky Chance,1hzfo8twXdOegF3xireCYs,2013,Desconocido,Otros
Tú y yo - Enjoy,Revolver,2SAPkzCWSR5iX7dE4hVcqB,2013,Desconocido,Otros
Why'd You Only Call Me When You're High?,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,2013,indie,indie
Wrecking Ball - Director's Cut,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,2013,Desconocido,Otros
Bound 2,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,2013,rap,hip-hop
Girls,Santigold,6Jrxnp0JgqmeUX1veU591p,2013,Desconocido,Otros
Pompeii,Bastille,7EQ0qTo7fWT7DPxmxtSYEc,2013,Desconocido,Otros
Rock mi,voXXclub,1MTZLkTHs5s3jUV5ezuSIu,2013,schlager,pop
Ribs,Lorde,163tK9Wjr9P9DmM0AVK7lm,2013,Desconocido,Otros
เมื่อไหร่จะได้พบเธอ,เต้ ภูริต ภิรมย์ภักดี,50Oc6oBw5HK4iSn03rf5un,2013,thai pop,k-pop
Hey Brother,Avicii,1vCWHaC5f2uS3yhpwWbIA6,2013,edm,electrónica
Estou Apaixonado (Estoy Enamorado) - Ao Vivo,Daniel,2wwWukJBsCikjlj7vlbQkM,2013,sertanejo tradicional,samba
La La La,Naughty Boy,1bT7m67vi78r2oqvxrP3X5,2013,Desconocido,Otros
"Hello, My Name Is - Live",Matthew West,6e8OTLDQpaz1Tl2GEaxsNj,2013,christian,Otros
Cigarette Daydreams,Cage The Elephant,26T3LtbuGT1Fu9m0eRq5X3,2013,modern rock,rock
Dos Por Dos - (con Miguel Rios)Enjoy,Revolver,2SAPkzCWSR5iX7dE4hVcqB,2013,Desconocido,Otros
Let Her Go,Passenger,0gadJ2b9A4SKsB1RFkBb66,2013,folk pop,folk
No va más - Enjoy,Revolver,2SAPkzCWSR5iX7dE4hVcqB,2013,Desconocido,Otros
Still into You,Paramore,74XFHRwlV6OrjEM0A2NCMF,2013,pop punk,rock
Si no hubiera que correr - Enjoy,Revolver,2SAPkzCWSR5iX7dE4hVcqB,2013,Desconocido,Otros
All I Want,Kodaline,4BxCuXFJrSWGi1KHcVqaU4,2013,Desconocido,Otros
Tierra baldía - Enjoy,Revolver,2SAPkzCWSR5iX7dE4hVcqB,2013,Desconocido,Otros
i was all over her,salvia palth,0pg0Zm8FsGAYy5kdHuBnSo,2013,slowcore,metal
ใจเอย,สน ยุกต์,5W5jAowtGGqwzcr8DacSiS,2013,thai pop,k-pop
I Love It (feat. Charli XCX),Icona Pop,1VBflYyxBhnDc9uVib98rw,2013,Desconocido,Otros
Invisibili,Ape Escape,1NAHhp8bXPXpygZRqRdt2i,2013,jungle,electrónica
A Sky Full of Stars,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,2014,Desconocido,Otros
"Cheri Cheri Lady (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985",Modern Talking,79bxUQsBIXO8nVLB9fYKf7,2014,italo disco,dance
Take Me To Church,Hozier,2FXC3k01G6Gw61bmprjgqS,2014,Desconocido,Otros
"You Can Win If You Want (Wetten, dass...? 18.05.1985) - Live from Wetten, dass...?, 1985",Modern Talking,79bxUQsBIXO8nVLB9fYKf7,2014,italo disco,dance
Do I Wanna Know? - Live At the BBC,Hozier,2FXC3k01G6Gw61bmprjgqS,2014,Desconocido,Otros
"Atlantis Is Calling (Na, sowas! 17.05.1986) - Live from Na, sowas!, 1986",Modern Talking,79bxUQsBIXO8nVLB9fYKf7,2014,italo disco,dance
Someone New,Hozier,2FXC3k01G6Gw61bmprjgqS,2014,Desconocido,Otros
"Geronimo's Cadillac (Peters Pop-Show 06.12.1986) - Live from Peters Pop-Show, 1986",Modern Talking,79bxUQsBIXO8nVLB9fYKf7,2014,italo disco,dance
Shut Up and Dance,WALK THE MOON,6DIS6PRrLS3wbnZsf7vYic,2014,Desconocido,Otros
"You Are Not Alone (Wetten, dass...? 20.02.1999) - Live from Wetten, dass...?, 1999",Modern Talking,79bxUQsBIXO8nVLB9fYKf7,2014,italo disco,dance
Work Song,Hozier,2FXC3k01G6Gw61bmprjgqS,2014,Desconocido,Otros
Iré tras de ti,Mr.,5yocZHV4puj9QHb4xAXAtL,2014,cantopop,pop
Budapest,George Ezra,2ysnwxxNtSgbb9t1m2Ur4j,2014,Desconocido,Otros
Il fait chaud,Patrick Sébastien,6EnaTzKZRHzVO1Meqoh1hJ,2014,Desconocido,Otros
Night Changes,One Direction,4AK6F7OLvEQ5QYCBNiQWHq,2014,Desconocido,Otros
G.U.Y. - An ARTPOP Film,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,2014,art pop,pop
